Col,Row,Blk,Plot,Name,Stems,IBAP13,IBA13,DBH13eq,MAIBA13,BAtot13,DBH 13,DBH 13a,DBH 13b,DBH 13c,DBH 13d,DBH 13e,Canker,Ht12 (ft),Ht12a (ft),Ht12b (ft),Ht12c (ft),Ht12d (ft),IBAP12,IBA12,DBH12eq,MAIBA12,BAtot12,DBH 12,DBH 12a,DBH 12b,DBH 12c,DBH 12d,DBH 12e,Canker,IBAP11,IBA11,DBH11eq,MAIBA11,BAtot11,DBH 11,DBH11a,DBH 11b,DBH 11c,DBH 11d,DBH 11e,IBAP10,IBA10,DBH10eq,MAIBA10,BAtot10,DBH 10,DBH 10a,DBH 10b,DBH 10c,DBH 10d,DBH 10e,BLD or Rust 10,Canker 10,IBAP09,IBA09,DBH09eq,MAIBA09,BAtot09,DBH 09,DBH 09a,DBH 09b,DBH 09c,DBH 09d,DBH 09e,IBAP08,IBA08,DBH08eq,MAIBA08,BAtot08,DBH 08,DBH 08a,DBH 08b,DBH 08c,DBH 08d,DBH 08e,Ht 08,DBH07eq,MAIBA07,BAtot07,DBH 07,DBH 07a,DBH 07b,DBH 07c,DBH 07d,DBH 07e,"Leaf
Spot08 4yr","Leaf
Rust08 4yr",Canker08 4yr
1,11,4,3,2XT4E04,0,,,0,NA,NA,,,,,,,0,,,,,,,,0,NA,NA,,,,,,,0,,,0,NA,NA,,,,,,,,,0,NA,NA,,,,,,,,,,,0,NA,NA,,,,,,,,,0,NA,NA,,,,,,,,0,NA,NA,,,,,,,,,
1,12,4,3,2XT4E04,0,,,0,NA,NA,,,,,,,0,,,,,,,,0,NA,NA,,,,,,,0,,,0,NA,NA,,,,,,,,,0,NA,NA,,,,,,,,,,,0,NA,NA,,,,,,,,,0,NA,NA,,,,,,,,0,NA,NA,,,,,,,,,
1,13,4,4,83XAA04,4,34%,0.105,8.7,0.046,0.414,6.5,4.4,3.5,1.4,,,0,38.1,34.7,29.9,,,24%,0.06,7.5,0.039,0.309,5.8,3.5,3,1.3,,,0,26%,0.051,6.8,0.036,0.249,5.2,3.1,3,,,,42%,0.058,6,0.033,0.197,4.6,2.8,2.4,1.2,,,3,0,49%,0.046,5.1,0.028,0.139,3.7,2.2,2.1,1.2,0.8,0.7,92%,0.045,4.1,0.023,0.093,3.2,1.6,1.5,1.1,0.7,0.6,22,3,0.016,0.049,2.4,1.1,0.9,0.8,0.5,0.5,0,1,0
1,14,4,4,83XAA04,3,32%,0.127,9.8,0.058,0.52,8,5.3,1.8,,,,0,44.2,39.4,,,,21%,0.069,8.5,0.049,0.393,6.9,4.6,1.8,,,,0,45%,0.101,7.7,0.046,0.324,6.2,4.2,1.8,,,,48%,0.073,6.4,0.037,0.223,5.2,3.3,1.7,,,,2,0,66%,0.059,5.2,0.03,0.15,4.2,2.7,1.6,,,,103%,0.046,4.1,0.023,0.091,3.4,1.9,1.2,,,,23,2.9,0.015,0.045,2.3,1.5,0.8,,,,0,1,0
1,15,4,4,83XAA04,3,21%,0.083,9.4,0.053,0.478,5.6,5.5,5.1,,,,0,40.5,38.5,34.7,,,21%,0.067,8.5,0.049,0.395,5.3,4.9,4.5,,,,0,37%,0.089,7.7,0.047,0.327,4.7,4.5,4.2,,,,30%,0.055,6.6,0.04,0.238,4.3,3.5,3.6,,,,2,0,38%,0.05,5.8,0.037,0.183,3.7,3.2,3.1,,,,147%,0.079,4.9,0.033,0.133,3.1,3,2.4,,,,21,3.1,0.018,0.054,2,1.9,1.5,,,,0,1,1
1,16,4,4,83XAA04,2,26%,0.09,8.9,0.048,0.432,7.9,4.1,,,,,0,42.9,35.9,,,,32%,0.083,7.9,0.043,0.342,7.1,3.5,,,,,0,36%,0.069,6.9,0.037,0.259,6.1,3.2,,,,,55%,0.067,5.9,0.032,0.19,5.3,2.6,,,,,1,0,84%,0.056,4.7,0.025,0.123,4.2,2.2,,,,,142%,0.039,3.5,0.017,0.067,3.2,1.4,,,,,23,2.2,0.009,0.028,2.1,0.8,,,,,0,1,0
1,17,5,5,81XAA04,2,20%,0.036,6.3,0.024,0.215,5.8,2.4,,,,,0,36.8,28.7,,,,,,5.7,0.022,0.179,5.2,2.4,,,,,0,,,0,NA,NA,,,,,,,35%,0.029,4.6,0.019,0.114,4,2.2,,,,,1,0,40%,0.024,3.9,0.017,0.084,3.5,1.8,,,,,83%,0.027,3.3,0.015,0.06,2.8,1.8,,,,,21,2.5,0.011,0.033,2.2,1.1,,,,,0,1,0
1,18,5,5,81XAA04,2,26%,0.096,9.3,0.052,0.472,7.5,5.5,,,,,0,37.3,37.3,,,,,,8.3,0.047,0.376,6.7,4.9,,,,,0,,,0,NA,NA,,,,,,,47%,0.067,6.2,0.035,0.211,5.2,3.4,,,,,1,0,42%,0.043,5.1,0.029,0.144,4.3,2.8,,,,,66%,0.04,4.3,0.025,0.101,3.5,2.5,,,,,23,3.3,0.02,0.061,2.6,2.1,,,,,0,1,0
1,19,5,5,81XAA04,3,24%,0.065,7.9,0.037,0.337,6.7,3.4,2.3,,,,0,35,25.2,21.7,,,,,7.1,0.034,0.272,5.9,3.2,2.2,,,,0,,,0,NA,NA,,,,,,,47%,0.055,5.6,0.029,0.174,4.5,2.6,2.2,,,,1,0,44%,0.036,4.7,0.024,0.118,3.7,2,2,,,,83%,0.037,3.9,0.021,0.082,3.2,1.7,1.4,,,,23,2.9,0.015,0.045,2.4,1.3,0.9,,,,0,1,0
1,20,5,5,81XAA04,1,17%,0.013,4,0.01,0.087,4,,,,,,0,26,,,,,,,3.7,0.009,0.075,3.7,,,,,,0,,,0,NA,NA,,,,,,,36%,0.011,2.8,0.007,0.043,2.8,,,,,,3,0,0%,0,2.4,0.006,0.031,2.4,,,,,,78%,0.014,2.4,0.008,0.031,2.4,,,,,,16,1.8,0.006,0.018,1.8,,,,,,0,1,0
2,1,1,10,80XAA04,1,28%,0.106,9.4,0.054,0.482,9.4,,,,,,0,44.7,,,,,16%,0.052,8.3,0.047,0.376,8.3,,,,,,0,45%,0.1,7.7,0.046,0.323,7.7,,,,,,46%,0.07,6.4,0.037,0.223,6.4,,,,,,1,0,76%,0.066,5.3,0.031,0.153,5.3,,,,,,56%,0.031,4,0.022,0.087,4,,,,,,23.9,3.2,0.019,0.056,3.2,,,,,,0,1,0
2,2,1,10,80XAA04,1,28%,0.056,6.8,0.028,0.252,6.8,,,,,,0,38.2,,,,,38%,0.054,6,0.025,0.196,6,,,,,,0,47%,0.046,5.1,0.02,0.142,5.1,,,,,,62%,0.037,4.2,0.016,0.096,4.2,,,,,,1,0,74%,0.025,3.3,0.012,0.059,3.3,,,,,,93%,0.016,2.5,0.009,0.034,2.5,,,,,,18.1,1.8,0.006,0.018,1.8,,,,,,0,1,0
2,3,1,10,80XAA04,1,26%,0.046,6.4,0.025,0.223,6.4,,,,,,0,38.9,,,,,20%,0.03,5.7,0.022,0.177,5.7,,,,,,0,46%,0.047,5.2,0.021,0.147,5.2,,,,,,60%,0.038,4.3,0.017,0.101,4.3,,,,,,1,0,59%,0.023,3.4,0.013,0.063,3.4,,,,,,102%,0.02,2.7,0.01,0.04,2.7,,,,,,21,1.9,0.007,0.02,1.9,,,,,,0,1,0
2,4,1,10,80XAA04,1,15%,0.006,3,0.005,0.049,3,,,,,,0,32.8,,,,,16%,0.006,2.8,0.005,0.043,2.8,,,,,,0,40%,0.01,2.6,0.005,0.037,2.6,,,,,,10%,0.002,2.2,0.004,0.026,2.2,,,,,,2,0,53%,0.008,2.1,0.005,0.024,2.1,,,,,,101%,0.008,1.7,0.004,0.016,1.7,,,,,,15.5,1.2,0.003,0.008,1.2,,,,,,0,1,0
2,5,1,9,84XAA04,4,28%,0.076,8,0.039,0.347,4.4,4.5,4.7,1.4,,,0,45.6,42.5,42.5,,,,,7.1,0.034,0.271,4.1,4,3.9,1.3,,,0,,,0,NA,NA,,,,,,,66%,0.069,5.6,0.029,0.172,3.3,3.1,3.1,1.2,,,2,0,59%,0.038,4.4,0.021,0.104,2.5,2.4,2.4,1.1,,,109%,0.034,3.5,0.016,0.065,2.2,1.8,1.8,0.7,0.4,,19.4,2.4,0.01,0.031,1.5,1.3,1.2,0.5,0.3,,0,1,0
2,6,1,9,84XAA04,1,23%,0.037,6,0.022,0.196,6,,,,,,0,39.5,,,,,,,5.4,0.02,0.159,5.4,,,,,,0,,,0,NA,NA,,,,,,,19%,0.019,4.6,0.02,0.117,4.5,1.1,,,,,2,0,41%,0.029,4.2,0.02,0.098,4.1,1.1,,,,,79%,0.031,3.6,0.017,0.07,3.4,1.1,,,,,23.3,2.7,0.013,0.039,2.6,0.6,,,,,0,1,0
