id,setid,long_ft,short_ft,row,col,block,dbh,year,site,name,plot,stemno,htave,ht,basm,ba
111,1,8,7,3,13,2,3.64,2013,U08as,75,50,2,21.00,22.00,0.0067,0.0723
112,1,8,7,4,13,2,2.83,2013,U08as,75,50,2,20.00,21.00,0.0041,0.0437
113,1,8,7,5,13,3,2.98,2013,U08as,72,51,2,22.50,23.00,0.0045,0.0485
114,1,8,7,6,13,3,1.90,2013,U08as,72,51,1,22.00,22.00,0.0018,0.0197
115,1,8,7,7,13,4,1.80,2013,U08as,62,52,1,21.00,21.00,0.0016,0.0177
116,1,8,7,8,13,4,2.50,2013,U08as,62,52,1,23.50,23.50,0.0032,0.0341
117,1,8,7,9,13,3,2.50,2013,U08as,NM6,63,1,18.00,18.00,0.0032,0.0341
118,1,8,7,1,14,1,2.20,2013,U08as,71,56,1,18.00,18.00,0.0025,0.0264
119,1,8,7,2,14,1,1.80,2013,U08as,71,56,1,17.00,17.00,0.0016,0.0177
120,1,8,7,3,14,2,1.60,2013,U08as,66,55,1,15.00,15.00,0.0013,0.0140
121,1,8,7,4,14,2,0.00,2013,U08as,66,55,NA,NA,NA,NA,NA
122,1,8,7,5,14,3,2.40,2013,U08as,62,54,1,21.00,21.00,0.0029,0.0314
123,1,8,7,6,14,3,2.60,2013,U08as,62,54,1,23.00,23.00,0.0034,0.0369
124,1,8,7,7,14,4,4.30,2013,U08as,66,53,2,24.00,24.50,0.0094,0.1009
125,1,8,7,8,14,4,3.50,2013,U08as,66,53,1,24.50,24.50,0.0062,0.0668
126,1,8,7,9,14,4,2.70,2013,U08as,NM6,64,1,19.00,19.00,0.0037,0.0398
127,1,8,7,1,15,1,1.50,2013,U08as,62,57,1,12.00,12.00,0.0011,0.0123
128,1,8,7,2,15,1,0.00,2013,U08as,62,57,NA,NA,NA,NA,NA
129,1,8,7,3,15,2,3.54,2013,U08as,67,58,2,22.50,22.50,0.0063,0.0682
130,1,8,7,4,15,2,0.00,2013,U08as,67,58,NA,NA,NA,NA,NA
131,1,8,7,5,15,3,2.20,2013,U08as,67,59,1,20.50,20.50,0.0025,0.0264
132,1,8,7,6,15,3,1.70,2013,U08as,67,59,1,18.00,18.00,0.0015,0.0158
133,1,8,7,7,15,4,1.70,2013,U08as,65,60,1,18.50,18.50,0.0015,0.0158
134,1,8,7,8,15,4,1.80,2013,U08as,65,60,1,17.00,17.00,0.0016,0.0177
135,1,8,7,9,15,4,1.60,2013,U08as,NM6,64,1,14.00,14.00,0.0013,0.0140
