"id"	"setid"	"longft"	"shortft"	"row"	"col"	"block"	"dbh"	"year"	"site"	"name"	"plot"	"ibap"	"iba"	"ibamai"	"batot"	"ht"	"stms"	"canker"	"nline"	"neline"	"eline"	"seline"	"sline"	"swline"	"wline"	"nwline"	"lineindex"	"areaindex"	"sname2"	"ndbh"	"nedbh"	"edbh"	"sedbh"	"sdbh"	"swdbh"	"wdbh"	"nwdbh"	"sname3"	"dbhc"	"dbha"	"dbhr"	"sdbhr1d"	"sdbhr2d"	"bar"	"sbar"
"1300"	1300	4	9	9	19	2	"5"	5	"2008"	"U07m"	"80XAA04"	"6"	163	0.051	0.033	0.134	22.1	NA	NA	5.4	7.3	5.8	7.3	5	8.6	5.1	6.8	51.33	112.78	"80XAA04"	28	31	21	31	34	18	33	37	"80XAA04"	8	3.51	1.42	5.62	11.8	1.97	4.07
"1301"	1301	4	9	9	20	2	"5"	4	"2008"	"U07m"	"80XAA04"	"6"	76	0.057	0.022	0.088	22.4	NA	NA	4	7.6	4.7	6.4	6.8	12.7	5.6	6.4	54.23	126.92	"80XAA04"	44	21	31	34	4	NA	18	33	"80XAA04"	7	2.87	1.39	5.75	10.13	1.51	5.29
"1303"	1303	4	9	9	1	3	"1"	4.1	"2008"	"U07m"	"83XAA04"	"11"	28	0.05	0.023	0.093	22	NA	NA	9	12.7	9	8.2	4.3	7.9	4.6	12.7	68.41	205.33	"83XAA04"	NA	NA	NA	17	38	19	34	NA	"83XAA04"	4	1.65	2.48	3.22	5.38	2.87	2.79
"1304"	1304	4	9	9	2	3	"1"	4.4	"2008"	"U07m"	"83XAA04"	"11"	34	0.057	0.026	0.105	22.4	NA	NA	4.7	12.7	5.9	11.9	5	7.9	5.7	6.7	60.52	148.07	"83XAA04"	35	NA	17	94	29	21	19	34	"83XAA04"	7	2.42	1.81	4.41	23.4	2.42	3.3
"1305"	1305	4	9	9	3	3	"1"	3.5	"2008"	"U07m"	"83XAA04"	"11"	200	0.033	0.017	0.066	20.8	NA	NA	4	7.7	8.3	12.4	4	8.6	5.1	7.4	57.39	138.32	"83XAA04"	38	17	94	92	38	8	21	19	"83XAA04"	8	2.3	1.52	5.26	54.53	1.62	4.94
"1306"	1306	4	9	9	4	3	"1"	4.4	"2008"	"U07m"	"83XAA04"	"11"	54	0.064	0.027	0.107	23.1	NA	NA	5	11.9	8.8	7.2	5.4	7.1	6.5	7.9	59.8	156.25	"83XAA04"	29	94	92	28	23	29	8	21	"83XAA04"	8	2.26	1.94	4.11	68.21	2.83	2.83
"1311"	1311	4	9	9	9	3	"4"	4.2	"2008"	"U07m"	"80XAA04"	"13"	24	0.052	0.024	0.098	22.7	NA	NA	5.6	7	6.9	9.1	5.6	7.7	6	8.6	56.54	138.09	"80XAA04"	19	28	4	8	20	21	15	14	"80XAA04"	8	2.29	1.84	4.36	15.89	3.15	2.54
"1312"	1312	4	9	9	10	3	"4"	2.6	"2008"	"U07m"	"80XAA04"	"13"	189	0.017	0.009	0.037	19	NA	NA	3.4	8.5	5.4	11	4.8	5.4	4.4	7	50.06	103.68	"80XAA04"	36	4	8	95	17	29	21	15	"80XAA04"	8	2.28	1.14	7	14.72	1.05	7.64
"1313"	1313	4	9	9	11	3	"4"	2.3	"2008"	"U07m"	"80XAA04"	"13"	196	0.013	0.007	0.028	16.7	NA	NA	4.2	7.3	7.7	10.1	3	4.6	3.6	5.9	46.35	95.82	"80XAA04"	20	8	95	97	39	35	29	21	"80XAA04"	8	2.51	0.92	8.74	14.4	0.63	12.62
"1314"	1314	4	9	9	12	3	"4"	4.5	"2008"	"U07m"	"80XAA04"	"13"	19	0.058	0.028	0.112	24.7	NA	NA	6	11.7	7.9	7.6	4.8	12.7	4.7	7.2	62.58	161.37	"80XAA04"	17	95	97	24	34	NA	35	29	"80XAA04"	7	2.24	2.01	3.98	25.71	2.71	2.96
"1319"	1319	4	9	9	17	3	"5"	3.9	"2008"	"U07m"	"83XAA04"	"15"	30	0.045	0.021	0.083	21.8	NA	NA	4.9	6.3	5.9	6.4	4.6	6.8	4.8	12.7	52.33	113.62	"83XAA04"	27	34	15	33	31	28	28	NA	"83XAA04"	7	2.97	1.31	6.1	8.36	1.46	5.48
"1320"	1320	4	9	9	18	3	"5"	3.7	"2008"	"U07m"	"83XAA04"	"15"	164	0.029	0.019	0.075	22.6	NA	NA	4.4	8.1	4.4	7	5.2	5.4	4.7	6.6	45.85	89.18	"83XAA04"	33	15	33	24	21	44	28	28	"83XAA04"	8	3.42	1.08	7.41	9.18	1.1	7.25
"1321"	1321	4	9	9	19	3	"5"	2.7	"2008"	"U07m"	"83XAA04"	"15"	61	0.024	0.01	0.04	20.1	NA	NA	3.8	5.2	4.3	4.9	3.8	5.1	3.2	5.6	35.89	55.28	"83XAA04"	31	33	24	37	31	34	44	28	"83XAA04"	8	3.87	0.7	11.48	5.69	0.48	16.82
"1322"	1322	4	9	9	20	3	"5"	3.7	"2008"	"U07m"	"83XAA04"	"15"	195	0.036	0.019	0.074	21.5	NA	NA	5.2	7	4.2	6.8	4.3	9.4	4.3	5.4	46.7	90.79	"83XAA04"	21	24	37	26	34	4	34	44	"83XAA04"	8	3.44	1.08	7.43	10.06	1.06	7.58
"1387"	1387	4	9	9	1	7	"2"	3.6	"2008"	"U07m"	"83XAA04"	"31"	181	0.031	0.018	0.071	21.3	NA	NA	9	12.7	7	12.7	4.4	6.4	3.9	12.7	68.83	199.98	"83XAA04"	NA	NA	1	NA	32	30	42	NA	"83XAA04"	4	1.65	2.18	3.67	6.3	2.02	3.97
"1388"	1388	4	9	9	2	7	"2"	3.8	"2008"	"U07m"	"83XAA04"	"31"	151	0.027	0.02	0.079	24.3	NA	NA	4.6	10.1	9	11	5	6.4	4.6	5.6	56.33	143.14	"83XAA04"	30	1	NA	97	24	32	30	42	"83XAA04"	7	2.55	1.49	5.37	15.3	1.57	5.11
"1389"	1389	4	9	9	3	7	"2"	3	"2008"	"U07m"	"83XAA04"	"31"	38	0.027	0.012	0.049	22.3	NA	NA	4	12.7	7.5	9.5	3.9	9.5	4	5.8	56.96	132.99	"83XAA04"	32	NA	97	1	33	1	32	30	"83XAA04"	7	2.21	1.36	5.9	14.18	1.21	6.6
"1390"	1390	4	9	9	4	7	"2"	3.9	"2008"	"U07m"	"83XAA04"	"31"	20	0.043	0.021	0.083	24.5	NA	NA	5.1	11	7.2	8	8	7.2	7.2	6.4	60.07	157.06	"83XAA04"	24	97	1	17	96	24	1	32	"83XAA04"	8	1.9	2.05	3.9	27.42	3.02	2.65
"1399"	1399	4	9	9	13	7	"3"	4.2	"2008"	"U07m"	"83XAA04"	"34"	184	0.043	0.024	0.095	25.3	NA	NA	8.4	7.6	5.4	7.7	4.7	11.4	8.6	8.5	62.3	169.12	"83XAA04"	94	22	22	21	33	96	93	15	"83XAA04"	8	1.91	2.2	3.64	51.03	3.28	2.44
"1400"	1400	4	9	9	14	7	"3"	3.9	"2008"	"U07m"	"83XAA04"	"34"	41	0.048	0.021	0.084	23.1	NA	NA	4.3	7.4	5.3	12.7	4.3	12.7	8	12.1	66.88	176.33	"83XAA04"	36	22	21	NA	37	NA	96	93	"83XAA04"	6	1.84	2.12	3.77	31.97	2.36	3.39
"1401"	1401	4	9	9	15	7	"3"	4.3	"2008"	"U07m"	"83XAA04"	"34"	189	0.046	0.025	0.099	25.2	NA	NA	4.7	7.8	9	8.4	4.7	9.8	9	11.4	64.8	181.11	"83XAA04"	33	21	NA	16	34	4	NA	96	"83XAA04"	6	1.83	2.36	3.4	17.63	3.27	2.45
"1402"	1402	4	9	9	16	7	"3"	4	"2008"	"U07m"	"83XAA04"	"34"	177	0.038	0.022	0.089	22.1	NA	NA	4.3	12.7	5.8	7.3	7.7	7.5	6.8	12.7	64.81	168.61	"83XAA04"	37	NA	16	24	98	22	4	NA	"83XAA04"	6	1.79	2.24	3.58	14.3	3.02	2.65
"1433"	1433	4	9	9	5	9	"2"	4.3	"2008"	"U07m"	"80XAA04"	"42"	174	0.042	0.025	0.101	22.7	NA	NA	9	6.8	5.5	8.6	4.8	10	5.9	10.3	60.76	157.58	"80XAA04"	NA	31	22	15	32	3	17	1	"80XAA04"	7	2.11	2.04	3.93	15.63	3.07	2.6
"1434"	1434	4	9	9	6	9	"2"	3.8	"2008"	"U07m"	"80XAA04"	"42"	136	0.023	0.02	0.079	23.6	NA	NA	4.2	7.3	5.8	7.7	4.6	9.1	6.8	7.9	53.48	121.86	"80XAA04"	37	22	15	19	31	6	3	17	"80XAA04"	8	2.55	1.49	5.37	13.95	1.94	4.13
"1435"	1435	4	9	9	7	9	"2"	3.7	"2008"	"U07m"	"80XAA04"	"42"	158	0.027	0.019	0.075	24.5	NA	NA	4.4	8.1	5.4	8	4	7.2	6.4	9.6	53.14	117.91	"80XAA04"	32	15	19	16	41	22	6	3	"80XAA04"	8	2.6	1.42	5.62	13.56	1.72	4.64
"1436"	1436	4	9	9	8	9	"2"	4.7	"2008"	"U07m"	"80XAA04"	"42"	177	0.051	0.03	0.119	21.2	NA	NA	5	8.3	6.1	9.3	5.8	6.7	5.6	9.6	56.63	135.8	"80XAA04"	31	19	16	8	20	36	22	6	"80XAA04"	8	2.65	1.77	4.51	15.79	2.84	2.81
"1441"	1441	4	9	9	13	9	"3"	3	"2008"	"U07m"	"80XAA04"	"44"	70	0.032	0.013	0.05	19.5	NA	NA	6.1	12.7	6.8	12.7	4.4	6.7	4.7	6.6	60.71	154.91	"80XAA04"	5	NA	1	NA	25	21	22	22	"80XAA04"	6	1.73	1.74	4.6	9.36	2.03	3.95
"1442"	1442	4	9	9	14	9	"3"	3.1	"2008"	"U07m"	"80XAA04"	"44"	31	0.028	0.013	0.052	20.9	NA	NA	4.6	9.6	9	10.4	4.7	12.7	4.8	6.7	62.46	161.05	"80XAA04"	24	1	NA	98	23	NA	21	22	"80XAA04"	6	1.64	1.89	4.23	11.89	2.26	3.54
"1443"	1443	4	9	9	15	9	"3"	2.9	"2008"	"U07m"	"80XAA04"	"44"	62	0.028	0.011	0.046	16.6	NA	NA	4.3	12.7	7.3	9.5	5.7	7.2	9	6.6	62.29	164.1	"80XAA04"	25	NA	98	1	8	16	NA	21	"80XAA04"	6	1.42	2.04	3.93	12.08	2.58	3.11
"1444"	1444	4	9	9	16	9	"3"	1.7	"2008"	"U07m"	"80XAA04"	"44"	49	0.009	0.004	0.016	14.5	NA	NA	3.3	9	5.7	4.2	2.7	4.6	3.9	12.7	46.11	84.33	"80XAA04"	23	98	1	29	34	24	16	NA	"80XAA04"	7	2.16	0.79	10.18	6.96	0.44	17.99
"1445"	1445	4	9	9	17	9	"6"	4	"2008"	"U07m"	"83XAA04"	"45"	190	0.041	0.022	0.089	21.4	NA	NA	6.3	10.2	4.8	10.4	5.4	7.6	5.1	8.2	58.01	138.91	"83XAA04"	8	1	29	100	21	21	24	16	"83XAA04"	8	2.21	1.81	4.42	18.05	2.82	2.84
"1446"	1446	4	9	9	18	9	"6"	2.7	"2008"	"U07m"	"83XAA04"	"45"	170	0.016	0.01	0.04	18.1	NA	NA	3.6	5.5	6.8	6.7	3.6	7.6	4.5	6	44.45	84.32	"83XAA04"	34	29	100	18	34	9	21	24	"83XAA04"	8	2.79	0.97	8.26	9.65	0.83	9.65
"1447"	1447	4	9	9	19	9	"6"	4	"2008"	"U07m"	"83XAA04"	"45"	184	0.039	0.021	0.086	21.5	NA	NA	5.4	10.4	5.6	8.9	4.3	8.1	6.2	7.6	56.54	133.1	"83XAA04"	21	100	18	8	37	17	9	21	"83XAA04"	8	2.35	1.7	4.7	16.32	2.51	3.19
"1448"	1448	4	9	9	20	9	"6"	4.3	"2008"	"U07m"	"83XAA04"	"45"	174	0.043	0.026	0.103	20.8	NA	NA	4.7	8.2	6.5	11.6	7	9.6	5.9	9	62.4	164.8	"83XAA04"	34	18	8	95	3	5	17	9	"83XAA04"	8	1.9	2.26	3.53	27.06	4.03	1.99
"1466"	1466	4	9	9	17	10	"6"	3.5	"2008"	"U07m"	"80XAA04"	"46"	20	0.034	0.016	0.066	23.5	NA	NA	7	7.6	4.5	6.6	7.2	7.2	4.2	8.6	52.81	120.89	"80XAA04"	1	18	29	26	100	21	34	8	"80XAA04"	8	2.43	1.44	5.54	15.17	1.74	4.59
"1467"	1467	4	9	9	18	10	"6"	0.9	"2008"	"U07m"	"80XAA04"	"46"	166	0.002	0.001	0.004	10.7	NA	NA	1.8	2.6	2	3.2	2.5	2.3	2.3	2.3	18.98	15.77	"80XAA04"	29	29	26	21	18	34	21	34	"80XAA04"	8	3.25	0.28	28.89	2.29	0.07	107.51
"1468"	1468	4	9	9	19	10	"6"	2.4	"2008"	"U07m"	"80XAA04"	"46"	165	0.012	0.008	0.031	17.5	NA	NA	6.5	5.5	4.2	7.1	5.3	4.6	3.4	6	42.53	79.6	"80XAA04"	100	26	21	10	8	37	34	21	"80XAA04"	8	2.67	0.9	8.92	9.03	0.69	11.57
"1469"	1469	4	9	9	20	10	"6"	1.7	"2008"	"U07m"	"80XAA04"	"46"	37	0.009	0.004	0.016	14.7	NA	NA	3.7	4.9	4.3	6.4	7.3	7.5	2.5	3.8	40.36	74.21	"80XAA04"	18	21	10	8	95	3	37	34	"80XAA04"	8	2.32	0.73	10.94	9.72	0.42	19.25
"1471"	1471	4	9	9	1	11	"1"	2.7	"2008"	"U07m"	"NM6"	"51"	96	0.028	0.01	0.04	20.5	NA	NA	9	12.7	4.2	5.6	4	9.3	4	12.7	61.6	160.74	"NM6"	NA	NA	25	28	28	1	27	NA	"NM6"	5	1.77	1.52	5.26	5.98	1.31	6.12
"1472"	1472	4	9	9	2	11	"1"	3.4	"2008"	"U07m"	"NM6"	"51"	32	0.034	0.016	0.063	25	NA	NA	5	6.7	4.5	7.1	5.1	7.3	7	6.5	49.12	105.08	"NM6"	21	25	28	21	20	19	1	27	"NM6"	8	2.66	1.28	6.26	11.71	1.52	5.25
"1473"	1473	4	9	9	3	11	"1"	2.6	"2008"	"U07m"	"NM6"	"51"	182	0.003	0.009	0.037	25.1	NA	NA	3.9	5.5	4.4	6.5	4.5	5.3	4.6	9.2	43.85	81.13	"NM6"	28	28	21	19	20	31	19	1	"NM6"	8	2.73	0.95	8.38	8.88	0.84	9.52
"1474"	1474	4	9	9	4	11	"1"	2.6	"2008"	"U07m"	"NM6"	"51"	67	0.023	0.009	0.037	23.3	NA	NA	4.5	6.2	4.6	5.9	4.2	6.1	3.7	6.5	41.75	74.32	"NM6"	20	21	19	24	24	22	31	19	"NM6"	8	2.85	0.91	8.77	7.41	0.82	9.78
"1475"	1475	4	9	9	5	11	"2"	3	"2008"	"U07m"	"NM6"	"52"	38	0.027	0.012	0.049	24	NA	NA	4.8	6.9	4.5	5.4	4.5	7.5	4.7	5.7	43.98	83.32	"NM6"	20	19	24	35	24	15	22	31	"NM6"	8	2.98	1.01	7.93	8.4	0.98	8.2
"1476"	1476	4	9	9	6	11	"2"	3	"2008"	"U07m"	"NM6"	"52"	38	0.027	0.012	0.049	25.7	NA	NA	4.5	6.4	3.8	5.5	4.2	6.9	5.3	6.6	43.16	80.3	"NM6"	24	24	35	34	28	19	15	22	"NM6"	8	3.11	0.96	8.3	8.06	0.89	8.99
"1477"	1477	4	9	9	7	11	"2"	3.4	"2008"	"U07m"	"NM6"	"52"	49	0.037	0.016	0.063	27.6	NA	NA	4.8	5.8	4.1	6.3	3.7	7.7	5.2	7.9	45.47	87.73	"NM6"	24	35	34	29	42	16	19	15	"NM6"	8	3.27	1.04	7.71	9.02	1	8.01
"1478"	1478	4	9	9	8	11	"2"	4.8	"2008"	"U07m"	"NM6"	"52"	201	0.063	0.031	0.126	27	NA	NA	5.3	6.9	5.2	8	9	9.4	6.2	8.4	58.39	150.34	"NM6"	28	34	29	22	NA	8	16	19	"NM6"	7	2.51	1.91	4.19	12.62	2.99	2.67
"1480"	1480	4	9	9	10	11	"3"	3.3	"2008"	"U07m"	"NM6"	"53"	66	0.038	0.015	0.06	24	NA	NA	9	6.9	6.3	5.8	4.4	8.4	9	8.4	58.27	152.82	"NM6"	NA	22	5	33	28	8	NA	8	"NM6"	6	1.86	1.77	4.52	9.23	2.06	3.89
"1481"	1481	4	9	9	11	11	"3"	3.4	"2008"	"U07m"	"NM6"	"53"	32	0.034	0.016	0.063	25.1	NA	NA	4.6	9	4.2	9.2	4.4	12.7	6	12.7	62.87	150.51	"NM6"	27	5	33	4	29	NA	8	NA	"NM6"	6	1.89	1.8	4.44	9.92	2.06	3.88
"1482"	1482	4	9	9	12	11	"3"	3.5	"2008"	"U07m"	"NM6"	"53"	26	0.035	0.017	0.067	24.1	NA	NA	4.6	6	6.6	10.6	6.3	9.9	9	8.6	61.52	166.56	"NM6"	28	33	4	98	6	1	NA	8	"NM6"	7	1.69	2.07	3.86	17.51	2.79	2.86
"1483"	1483	4	9	9	13	11	"4"	1.5	"2008"	"U07m"	"NM6"	"54"	121	0.009	0.003	0.012	16.2	NA	NA	2.7	6.8	6.1	4.3	5.9	12.7	5.4	12.7	56.72	126.88	"NM6"	29	4	98	23	99	NA	1	NA	"NM6"	6	1.28	1.18	6.8	7.62	0.74	10.88
"1484"	1484	4	9	9	14	11	"4"	0.8	"2008"	"U07m"	"NM6"	"54"	127	0.003	0.001	0.003	13.1	NA	NA	3.1	6.8	1.9	3.8	2.5	6.8	9	5.7	39.56	69.91	"NM6"	6	98	23	10	15	98	NA	1	"NM6"	7	1.35	0.59	13.5	4.7	0.25	32.28
"1485"	1485	4	9	9	15	11	"4"	2.1	"2008"	"U07m"	"NM6"	"54"	88	0.016	0.006	0.024	19.5	NA	NA	6.5	5.3	4.7	7.9	4.2	8.6	6.8	12.7	56.75	139.14	"NM6"	99	23	10	4	18	1	98	NA	"NM6"	7	1.37	1.53	5.24	12.04	1.63	4.9
"1486"	1486	4	9	9	16	11	"4"	2.4	"2008"	"U07m"	"NM6"	"54"	99	0.022	0.008	0.031	21.4	NA	NA	4.8	7.1	5.8	7.8	3.7	5.2	6.4	9.9	50.62	110.21	"NM6"	15	10	4	6	29	29	1	98	"NM6"	8	1.94	1.24	6.46	13.05	1.21	6.59
"1487"	1487	4	9	9	17	11	"5"	3.5	"2008"	"U07m"	"NM6"	"55"	26	0.035	0.017	0.067	23.6	NA	NA	5.3	9.3	6.3	6.7	4.7	10.1	4.5	9.9	56.89	131.82	"NM6"	18	4	6	25	26	100	29	1	"NM6"	8	2.11	1.66	4.83	17.1	2.25	3.56
"1488"	1488	4	9	9	18	11	"5"	3.2	"2008"	"U07m"	"NM6"	"55"	126	0.044	0.014	0.056	22.5	NA	NA	4.3	8.7	4.6	6.2	4.9	7.3	7	6.1	48.96	102.75	"NM6"	29	6	25	28	21	18	100	29	"NM6"	8	2.62	1.22	6.56	12.01	1.33	6.03
"1489"	1489	4	9	9	19	11	"5"	2.7	"2008"	"U07m"	"NM6"	"55"	109	0.029	0.01	0.04	21.2	NA	NA	4.1	5.9	4	6.4	5.3	7.8	4.8	9.5	47.79	95.55	"NM6"	26	25	28	21	10	8	18	100	"NM6"	8	2.41	1.12	7.15	10.64	1.13	7.1
"1490"	1490	4	9	9	20	11	"5"	1.9	"2008"	"U07m"	"NM6"	"55"	107	0.014	0.005	0.02	18.3	NA	NA	3.7	4.6	3.7	5.9	4.8	10.5	4.8	5.6	43.53	81.8	"NM6"	21	28	21	16	8	95	8	18	"NM6"	8	2.15	0.88	9.05	10.61	0.68	11.82
"1508"	1508	4	9	9	17	12	"6"	1.5	"2008"	"U07m"	"NM6"	"56"	65	0.008	0.003	0.013	NA	NA	NA	4.8	12.7	9	12.7	2.9	4.1	2.7	4.9	53.87	137.01	"NM6"	4	NA	NA	NA	25	26	29	18	"NM6"	5	1.69	0.89	9	3.16	0.46	17.58
"1509"	1509	4	9	9	18	12	"6"	3.1	"2008"	"U07m"	"NM6"	"56"	74	0.035	0.013	0.054	NA	NA	NA	6.1	12.7	9	12.7	4.3	6.8	4.4	6	62.02	170.76	"NM6"	6	NA	NA	NA	28	21	26	29	"NM6"	5	1.79	1.73	4.61	5.98	1.76	4.54
"1510"	1510	4	9	9	19	12	"6"	3.4	"2008"	"U07m"	"NM6"	"56"	32	0.034	0.016	0.063	NA	NA	NA	4.7	12.7	9	12.7	5	8.2	5	6.6	63.92	176.26	"NM6"	25	NA	NA	NA	21	10	21	26	"NM6"	5	1.7	2	4	6.47	2.43	3.29
"1511"	1511	4	9	9	20	12	"6"	2.7	"2008"	"U07m"	"NM6"	"56"	91	0.028	0.01	0.041	NA	NA	NA	4	12.7	9	12.7	5	7.8	5.3	6.4	62.86	170.37	"NM6"	28	NA	NA	NA	16	8	10	21	"NM6"	5	1.49	1.82	4.41	6.03	1.93	4.14
"1525"	1525	3	9	9	13	1	"4"	3	"2007"	"U07m"	"83XAA04"	"4"	NA	NA	0.016	0.049	NA	NA	NA	9	6.4	9	8.5	4.6	12.7	9	12.7	71.88	223.32	"83XAA04"	NA	24	NA	6	23	NA	NA	NA	"83XAA04"	3	0.93	3.24	2.47	4.03	3.66	2.18
"1526"	1526	3	9	9	14	1	"4"	2.9	"2007"	"U07m"	"83XAA04"	"4"	NA	NA	0.015	0.045	NA	NA	NA	4.4	12.7	5.9	9.5	4.3	12.7	9	12.7	71.35	201.49	"83XAA04"	24	NA	6	1	25	NA	NA	NA	"83XAA04"	4	1.07	2.7	2.97	6.74	3.08	2.6
"1527"	1527	3	9	9	15	1	"4"	3.1	"2007"	"U07m"	"83XAA04"	"4"	NA	NA	0.018	0.054	NA	NA	NA	4.7	8.6	6.8	12.7	5.3	12.7	9	12.7	72.48	214.66	"83XAA04"	23	6	1	NA	16	NA	NA	NA	"83XAA04"	4	0.95	3.26	2.45	7.64	4.66	1.72
"1528"	1528	3	9	9	16	1	"4"	2.2	"2007"	"U07m"	"83XAA04"	"4"	NA	NA	0.009	0.028	NA	NA	NA	3.7	8.8	9	6.2	4.2	12.7	9	12.7	66.38	185.24	"83XAA04"	25	1	NA	17	19	NA	NA	NA	"83XAA04"	4	1.11	1.98	4.05	4.75	1.75	4.58
"1534"	1534	3	9	9	1	2	"1"	3.2	"2007"	"U07m"	"80XAA04"	"10"	NA	NA	0.019	0.056	NA	NA	NA	9	12.7	4.8	6.6	5.8	10.4	6	12.7	68.03	197.55	"80XAA04"	NA	NA	22	24	9	98	7	NA	"80XAA04"	5	1.24	2.59	3.09	10.56	3.54	2.26
"1535"	1535	3	9	9	2	2	"1"	1.8	"2007"	"U07m"	"80XAA04"	"10"	NA	NA	0.006	0.018	NA	NA	NA	3.2	5	3.4	5.3	4.4	6.5	6.5	6.7	41.07	74.54	"80XAA04"	26	22	24	19	10	8	98	7	"80XAA04"	8	2.17	0.83	9.67	8.23	0.6	13.23
"1536"	1536	3	9	9	3	2	"1"	1.9	"2007"	"U07m"	"80XAA04"	"10"	NA	NA	0.007	0.02	NA	NA	NA	4.6	4.9	3.9	5.1	5.5	7.6	4.8	9.3	45.71	90.2	"80XAA04"	9	24	19	22	3	4	8	98	"80XAA04"	8	1.87	1.01	7.89	10	0.88	9.1
"1537"	1537	3	9	9	4	2	"1"	1.2	"2007"	"U07m"	"80XAA04"	"10"	NA	NA	0.003	0.008	NA	NA	NA	3.5	4.1	2.7	4.9	3	5.5	4.3	5.3	33.28	47.6	"80XAA04"	10	19	22	10	18	7	4	8	"80XAA04"	8	2.01	0.6	13.42	5.05	0.34	23.76
"1550"	1550	3	9	9	17	2	"5"	2.3	"2007"	"U07m"	"80XAA04"	"6"	NA	NA	0.01	0.03	NA	NA	NA	9	6.8	4.2	5.6	4.4	5.2	4.3	6.5	46.11	95.73	"80XAA04"	NA	14	20	23	18	27	19	16	"80XAA04"	7	2.24	1.03	7.78	6.45	0.9	8.87
"1551"	1551	3	9	9	18	2	"5"	2.4	"2007"	"U07m"	"80XAA04"	"6"	NA	NA	0.01	0.031	NA	NA	NA	4.6	6.1	4.1	7.5	3.4	5.8	3.8	6.2	41.45	71.69	"80XAA04"	17	20	23	8	33	23	27	19	"80XAA04"	8	2.76	0.87	9.21	7.34	0.72	11.13
"1552"	1552	3	9	9	19	2	"5"	3.9	"2007"	"U07m"	"80XAA04"	"6"	NA	NA	0.027	0.082	NA	NA	NA	5.6	7.3	6.3	7.5	5.6	8.7	5.2	6.9	53	121.25	"80XAA04"	18	23	8	21	18	9	23	27	"80XAA04"	8	2.51	1.55	5.15	13.03	2.31	3.46
"1553"	1553	3	9	9	20	2	"5"	2.4	"2007"	"U07m"	"80XAA04"	"6"	NA	NA	0.01	0.031	NA	NA	NA	3.4	7.5	4.2	6.4	7	12.7	5.1	5.8	52.08	117.36	"80XAA04"	33	8	21	18	98	NA	9	23	"80XAA04"	7	2.01	1.19	6.71	9.51	1.06	7.52
"1555"	1555	3	9	9	1	3	"1"	2.8	"2007"	"U07m"	"83XAA04"	"11"	NA	NA	0.014	0.043	NA	NA	NA	9	12.7	9	8.1	4.3	7.7	4.2	12.7	67.85	202.02	"83XAA04"	NA	NA	NA	7	24	9	26	NA	"83XAA04"	4	1.2	2.33	3.43	5.11	2.5	3.19
"1556"	1556	3	9	9	2	3	"1"	3	"2007"	"U07m"	"83XAA04"	"11"	NA	NA	0.016	0.048	NA	NA	NA	4.7	12.7	5.9	11.6	4.9	7.8	5.6	6.2	59.31	142.86	"83XAA04"	22	NA	7	94	19	10	9	26	"83XAA04"	7	1.76	1.7	4.7	18.33	2.13	3.76
"1557"	1557	3	9	9	3	3	"1"	2.5	"2007"	"U07m"	"83XAA04"	"11"	NA	NA	0.011	0.034	NA	NA	NA	4.1	7.8	8	12.2	4.2	8.6	5.1	7.4	57.48	138.95	"83XAA04"	24	7	94	92	22	3	10	9	"83XAA04"	8	1.59	1.57	5.08	41.41	1.8	4.45
"1558"	1558	3	9	9	4	3	"1"	2.8	"2007"	"U07m"	"83XAA04"	"11"	NA	NA	0.015	0.044	NA	NA	NA	4.8	11.5	8.7	6.7	5.4	6.9	6.3	7.6	57.76	145.94	"83XAA04"	19	94	92	19	10	18	3	10	"83XAA04"	8	1.6	1.75	4.57	46.02	2.32	3.45
"1563"	1563	3	9	9	9	3	"4"	2.9	"2007"	"U07m"	"80XAA04"	"13"	NA	NA	0.015	0.046	NA	NA	NA	6.2	6.7	7.3	9.7	5.4	7.7	5.8	9	57.82	144.31	"80XAA04"	4	20	98	100	10	10	7	3	"80XAA04"	8	1.51	1.92	4.17	17.99	3.21	2.49
"1564"	1564	3	9	9	10	3	"4"	1.9	"2007"	"U07m"	"80XAA04"	"13"	NA	NA	0.007	0.02	NA	NA	NA	3.6	9.3	6.1	11	4.9	5.1	4.5	6.9	51.4	111.29	"80XAA04"	23	98	100	94	7	22	10	7	"80XAA04"	8	1.59	1.2	6.68	15.87	1.1	7.3
"1565"	1565	3	9	9	11	3	"4"	1.6	"2007"	"U07m"	"80XAA04"	"13"	NA	NA	0.005	0.014	NA	NA	NA	4.1	8.1	7.6	10.7	3.1	4.4	3.3	5.8	47.14	99.12	"80XAA04"	10	100	94	94	25	24	22	10	"80XAA04"	8	1.78	0.9	8.88	15.75	0.59	13.54
"1566"	1566	3	9	9	12	3	"4"	3.1	"2007"	"U07m"	"80XAA04"	"13"	NA	NA	0.018	0.054	NA	NA	NA	5.9	11.6	8.2	7.3	4.9	12.7	4.6	6.7	61.94	159.33	"80XAA04"	7	94	94	17	20	NA	24	22	"80XAA04"	7	1.61	1.92	4.16	27.28	2.43	3.29
"1571"	1571	3	9	9	17	3	"5"	2.6	"2007"	"U07m"	"83XAA04"	"15"	NA	NA	0.013	0.038	NA	NA	NA	5.1	6.2	6	6.9	4.3	6.6	4.8	12.7	52.6	114.98	"83XAA04"	14	21	4	16	23	18	17	NA	"83XAA04"	7	1.98	1.32	6.08	8.56	1.45	5.51
