"id"	"setid"	"longft"	"shortft"	"row"	"col"	"block"	"dbh"	"year"	"site"	"name"	"plot"	"ibap"	"iba"	"ibamai"	"batot"	"ht"	"stms"	"canker"	"nline"	"neline"	"eline"	"seline"	"sline"	"swline"	"wline"	"nwline"	"lineindex"	"areaindex"	"sname2"	"ndbh"	"nedbh"	"edbh"	"sedbh"	"sdbh"	"swdbh"	"wdbh"	"nwdbh"	"sname3"	"dbhc"	"dbha"	"dbhr"	"sdbhr1d"	"sdbhr2d"	"bar"	"sbar"
"969"	969	6	9	9	3	11	"1"	5.7	"2010"	"U07m"	"NM6"	"51"	153	0.062	0.03	0.177	NA	NA	NA	4.6	6.6	5.1	7.4	5.2	6.1	5.5	11	51.59	112.38	"NM6"	48	47	38	35	35	55	30	100	"NM6"	8	4.24	1.35	5.95	15.06	1.61	4.96
"970"	970	6	9	9	4	11	"1"	4.1	"2010"	"U07m"	"NM6"	"51"	165	0.036	0.015	0.092	NA	NA	NA	3.8	6.1	4.5	5.8	4.1	6.8	3.6	6.8	41.43	71.55	"NM6"	51	38	35	43	44	30	55	30	"NM6"	8	4.68	0.88	9.12	7.26	0.74	10.76
"971"	971	6	9	9	5	11	"2"	5	"2010"	"U07m"	"NM6"	"52"	137	0.04	0.023	0.136	NA	NA	NA	4.9	7	4.5	5.6	4.4	7.9	5.2	5.7	45.35	88.72	"NM6"	35	35	43	57	46	25	30	55	"NM6"	8	4.67	1.07	7.48	9.04	1.09	7.37
"972"	972	6	9	9	6	11	"2"	5.2	"2010"	"U07m"	"NM6"	"52"	180	0.065	0.025	0.147	NA	NA	NA	4.6	6.6	4.1	5.9	4.5	7.5	5.6	7.5	46.25	91.96	"NM6"	44	43	57	55	46	30	25	30	"NM6"	8	4.72	1.1	7.27	9.35	1.15	6.97
"973"	973	6	9	9	7	11	"2"	5.2	"2010"	"U07m"	"NM6"	"52"	142	0.047	0.025	0.147	NA	NA	NA	4.5	5.8	4.1	6.4	3.8	8.4	5.3	8	46.24	90.17	"NM6"	46	57	55	46	65	21	30	25	"NM6"	8	4.91	1.06	7.56	9.46	1.02	7.81
"974"	974	6	9	9	8	11	"2"	7.1	"2010"	"U07m"	"NM6"	"52"	133	0.077	0.046	0.275	NA	NA	NA	5.2	6.8	5.2	7.6	9	9.3	6.5	8.4	58.11	149.36	"NM6"	46	55	46	42	NA	20	21	30	"NM6"	7	3.78	1.88	4.25	12.71	2.85	2.8
"976"	976	6	9	9	10	11	"3"	5.1	"2010"	"U07m"	"NM6"	"53"	125	0.037	0.024	0.141	NA	NA	NA	9	6.6	5.8	5.9	4.3	8	9	8.4	57.04	146.91	"NM6"	NA	42	22	53	49	24	NA	20	"NM6"	6	3.08	1.66	4.82	8.34	1.86	4.29
"977"	977	6	9	9	11	11	"3"	5.5	"2010"	"U07m"	"NM6"	"53"	138	0.05	0.027	0.165	NA	NA	NA	4.7	8.4	4.3	8.5	4.5	12.7	5.8	12.7	61.72	146.93	"NM6"	45	22	53	21	50	NA	24	NA	"NM6"	6	3.14	1.75	4.56	8.83	2.08	3.84
"978"	978	6	9	9	12	11	"3"	5.6	"2010"	"U07m"	"NM6"	"53"	144	0.056	0.029	0.171	NA	NA	NA	4.5	6.2	6.1	9.5	5.9	9.6	9	8.3	59.16	154.1	"NM6"	49	53	21	10	23	9	NA	24	"NM6"	7	2.96	1.89	4.23	13.9	2.6	3.08
"979"	979	6	9	9	13	11	"4"	2.9	"2010"	"U07m"	"NM6"	"54"	176	0.019	0.008	0.046	NA	NA	NA	3.1	6.6	5.4	4.9	5.1	12.7	5.6	12.7	56.08	124.78	"NM6"	50	21	10	41	16	NA	9	NA	"NM6"	6	2.36	1.23	6.52	6.66	0.93	8.61
